Metabolities	Before	After	Ratio
Coenzyme A	3.6777517198627647	3.935079814560536	0.25732809469777107
Adenosine monophosphate	4.494209361538557	4.634766367690693	0.14055700615213573
Nicotinamide adenine dinucleotide	4.46588572359213	4.908479299736705	0.44259357614457356
C20H12O6	3.7535141177891975	3.9136383337033624	0.16012421591416473
Acetyl-L-alanine	3.6435209051409174	3.8434429166413655	0.1999220115004484
L-glutamyl-L-cysteine	3.9850533528914203	4.282819769675228	0.2977664167838082
C10H15N4O9P	3.6204339048201697	3.8741515742465324	0.2537176694263629
Guanosine monophosphate	3.621763586918646	3.8340178035693295	0.21225421665068367
Guanosine triphosphate	4.591613978422669	4.869135420882321	0.2775214424596516
C16H25N5O16P2	4.840488757663149	5.176007692758027	0.33551893509487873
Acetylimidazole	4.039578425054414	4.539265674230666	0.4996872491762527
Adenine	4.306527772780675	4.633682721991826	0.3271549492111507
C5H10N2O3	5.341906671153521	5.867711013399539	0.5258043422460179
C10H10N2O	3.9050991370430777	4.220252480030434	0.3151533429873567
